Timestamp(s),Execution time(s))
1701092572,0.405085
1701092573,0.352412
1701092574,0.34808
1701092575,0.370418
1701092576,0.343645
1701092577,0.341399
1701092578,0.334456
1701092579,0.334659
1701092580,0.332933
1701092581,0.334408
1701092582,0.328603
1701092583,0.332681
1701092584,0.33309
1701092585,0.33399
1701092586,0.329555
1701092587,0.331561
1701092588,0.340289
1701092589,0.328213
1701092590,0.327619
1701092591,0.334437
1701092592,0.342845
1701092593,0.335279
1701092594,0.350571
1701092595,0.335062
1701092596,0.357226
1701092597,0.338671
1701092598,0.34442
1701092599,0.334456
1701092600,0.335951
1701092601,0.355825
1701092602,0.342306
1701092603,0.332739
1701092604,0.333641
1701092605,0.332858
1701092606,0.332629
1701092607,0.332429
1701092608,0.338601
1701092609,0.360705
1701092610,0.334385
1701092611,0.335231
1701092612,0.333816
1701092613,0.337889
1701092614,0.365439
1701092615,0.341164
1701092616,0.341413
1701092617,0.336927
1701092618,0.336582
1701092619,0.331375
1701092620,0.336664
1701092621,0.331022
1701092622,0.333599
1701092623,0.335062
1701092624,0.341219
1701092625,0.334863
1701092626,0.333925
1701092627,0.341027
1701092628,0.343072
1701092629,0.343041
1701092630,0.362914
1701092631,0.349115
1701092632,0.34582
1701092633,0.343765
1701092634,0.34583
1701092635,0.33635
1701092636,0.338637
1701092637,0.34714
1701092638,0.339435
1701092639,0.348967
1701092640,0.336658
1701092641,0.351561
1701092642,0.337613
1701092643,0.339347
1701092644,0.343673
1701092645,0.343649
1701092646,0.338346
1701092647,0.354379
1701092648,0.342458
1701092649,0.347223
1701092650,0.340287
1701092651,0.334622
1701092652,0.337284
1701092653,0.334112
1701092654,0.339604
1701092655,0.3339
1701092656,0.332497
1701092657,0.347384
1701092658,0.335025
1701092659,0.336738
1701092660,0.334268
1701092661,0.338415
1701092662,0.336408
1701092663,0.330211
1701092664,0.335112
1701092665,0.334263
1701092666,0.339383
1701092667,0.335295
1701092668,0.339546
